cat_num,age_y,sex,f_mxl,f_db,f_msb
1248,3.00,M,225.78,55.57,19.06
707,4.98,M,226.23,56.69,15.59
902,5.64,F,226.64,55.29,16.2
1067,5.62,M,227.65,55.7,16.7
1206,4.00,M,227.75,54.62,16.86
946,3.95,F,228.09,53.68,17.39
662,4.66,M,228.22,57.02,16.38
425,5.08,M,228.23,56.95,15.27
695,5.24,F,228.75,53.16,16.71
464,5.21,M,228.78,53.02,16.64
340,3.81,F,228.92,54.58,15.87
593,4.05,F,229.92,53.08,17.1
1213,5.00,M,230.45,53.91,15.4
1001,4.45,M,230.88,53.44,16.25
734,3.75,F,231.74,53.92,17.68
901,4.12,M,231.92,56.97,17.37
474,5.55,M,232.33,55.03,15.73
1230,4.00,F,232.63,48.66,15.65
85,4.28,F,234.25,54.14,16.47
1,4.89,M,235.22,57.42,15.93
750,5.72,F,235.83,54.61,18.86
1273,5.00,F,236.14,55.16,17.45
445,3.79,M,236.24,56.22,17.14
1113,5.00,M,236.41,51.91,15.27
266,5.01,F,236.49,50,15.12
1373,4.92,M,236.67,62.04,20.35
472,5.44,M,236.99,51.89,15.53
306,4.93,F,237.01,52.47,16.19
59,4.59,M,237.08,52.74,18.8
247,4.96,F,237.92,54.11,15.11
1164,4.00,F,238.26,46.08,13.38
18,5.92,M,238.84,53.25,15.89
164,8.56,M,238.91,55.78,16.44
731,4.30,F,239.11,54.45,17.17
100,4.06,F,239.12,59.94,20.17
64,4.80,M,239.58,60.8,17.09
812,4.71,M,239.58,58.86,21.66
742,4.07,M,239.6,60.49,18.83
1076,4.35,M,240.01,60.82,16.18
260,4.68,F,240.35,55.11,17.87
1131,4.53,F,240.61,55.76,14.62
1296,4.00,F,241.02,50.32,15.78
1126,5.00,F,241.37,54.99,15.45
154,4.16,F,242.05,55.08,18.11
598,5.26,M,242.1,57.04,16.38
45,4.98,M,242.21,57.73,16.54
83,5.07,F,242.37,57.7,17.39
805,5.52,M,242.7,58.51,17.48
784,5.27,F,242.99,51.14,15.93
1360,5.13,F,243.08,56.54,17.53
1037,5.80,F,243.23,52.71,18.12
476,4.55,M,243.34,55.43,16.72
178,5.64,M,243.37,57.65,16.52
942,3.81,F,243.74,59.49,18.54
376,5.55,M,245.01,57,16.54
436,5.29,M,245.04,60.17,17.25
967,6.15,M,245.32,54.34,15.59
836,5.68,M,245.64,59.29,16.82
112,5.21,M,245.71,60.56,18.49
1217,4.00,F,245.72,53.82,17.66
431,5.32,F,245.79,58.65,18.2
578,4.23,F,246.02,54.79,16.1
788,4.14,F,246.03,61.15,19.32
1365,5.34,M,246.3,58.33,19.56
581,5.75,M,247.18,58.52,17.37
837,5.03,F,248.14,52.87,16.06
589,4.48,F,248.88,54.36,19.29
518,6.11,F,249.54,58.1,16.27
1049,5.82,M,250.05,57.61,16.53
270,5.46,M,250.29,55.85,16.2
438,5.46,M,250.33,64.65,17.1
363,5.68,M,250.5,67.68,20.83
739,6.24,M,250.69,56.23,18.38
555,6.79,M,251.58,59.73,17.96
786,5.25,M,251.73,60.37,17.41
810,5.12,M,251.78,55.84,16.71
384,4.88,M,251.88,56.85,16.26
44,5.21,M,251.91,59.25,16.26
67,5.18,M,252.12,60.57,16.75
282,5.93,M,252.22,55.49,18.21
188,5.41,M,252.55,61.47,17.54
261,5.37,F,252.87,56.7,17.73
710,7.97,M,253.99,56.92,19.09
166,6.81,M,254.18,61.19,17.09
437,5.54,M,254.24,59.91,18.01
482,6.82,M,254.56,55.04,17.13
238,8.50,F,254.72,58.89,18.87
283,7.52,M,255.06,57.23,17.49
551,5.94,M,255.36,59.86,18.28
1016,6.04,F,255.66,59.12,20.41
1286,5.00,M,255.7,57.74,17.11
564,6.84,M,256.17,54.53,16.95
663,3.97,F,256.28,53.43,18.05
580,5.38,F,256.77,54.32,17.27
988,5.02,F,257.41,54.59,18.29
388,5.23,M,257.87,57.99,19
499,6.13,M,258.09,54.21,16.99
145,5.92,F,258.29,53.75,16.21
502,5.64,M,258.3,54.27,15.95
48,6.50,F,258.59,52.01,16.16
1335,5.37,M,258.63,62.04,17.88
687,5.23,F,258.72,54.12,17.85
801,5.95,F,258.99,54.86,17.59
923,7.46,F,259.42,54.58,18.5
655,6.17,M,259.61,61.66,17.08
239,5.04,F,259.7,57.46,17.9
49,7.34,M,259.84,61.86,17.85
7,6.19,M,260.42,56.84,16.91
484,6.08,M,260.6,55,15.86
398,6.48,F,260.88,54.26,17.04
78,6.52,F,261.05,58.29,16.22
672,5.30,M,261.31,63.56,18.99
1104,6.50,M,261.39,61.7,18.51
521,5.01,F,261.68,50.92,17.88
1356,6.70,M,261.96,57.87,17.18
809,5.39,F,261.99,52.63,18.04
403,5.46,F,262.45,55.86,16.88
1043,6.21,F,262.47,55.43,18.09
909,6.92,F,262.71,56.38,19.76
1102,7.61,M,263.03,53.74,15.04
831,6.24,F,263.08,55.58,16.55
272,8.58,F,263.35,56.41,17.74
1103,5.00,M,263.42,62.87,19.27
106,5.49,F,263.67,56.96,20
850,6.35,F,264.005,56.93,17.04
1079,5.32,F,264.02,60.22,19.57
514,3.45,M,264.05,52.72,17.83
325,6.31,M,264.56,54.65,16.6
12,6.07,F,264.8,58.7,18.28
573,8.01,F,265.15,56.17,15.52
566,8.50,F,265.55,54.24,17.23
197,6.94,M,266.01,65.15,20.86
699,6.97,M,266.02,62,18.94
1364,5.02,M,266.08,55.76,16.76
298,7.06,F,266.76,56.07,16.85
504,6.75,M,266.85,63.25,17.2
986,6.89,M,266.92,64.9,19.87
916,6.58,M,266.99,66.22,20.05
127,5.73,M,267.54,58.87,18.24
455,6.02,M,267.76,56.69,18.23
203,6.03,M,267.85,62.54,17.71
637,7.48,M,267.9,59.74,18.9
92,6.07,F,267.95,59.92,18.62
1097,6.37,F,268.61,55.33,15.4
136,6.42,M,268.67,70.85,20.24
369,6.30,M,268.71,63.04,18.07
385,5.78,F,268.73,59.92,19.17
