cat_num,age_y,sex,f_mxl,f_db,f_msb
1068,8.87,F,352.81,69.43,22.01
287,12.13,M,352.84,70.3,21.28
175,11.92,M,353.08,73.16,26.33
625,11.79,M,354.14,73.18,20.17
841,12.19,M,354.26,75.16,23.7
81,12.99,M,355.01,68,23.67
848,10.56,F,355.49,69.89,18.3
276,10.13,M,355.76,70.08,23.59
72,11.04,F,355.97,65.77,22.7
216,11.32,F,356.15,67.97,21.89
1118,10.00,M,356.62,74.56,22.6
233,10.03,M,356.8,68.13,21.08
358,11.96,M,356.83,72.16,20.2
353,9.35,F,357.17,68.72,23.8
116,11.44,M,357.31,72.64,20.52
333,12.39,F,357.98,73.8,23.87
379,11.89,M,358.06,79.8,23.78
36,9.62,F,358.29,62.93,19.94
1029,12.48,M,358.68,71.15,22.9
530,11.83,F,358.82,65.6,22.1
595,11.15,M,359.47,72.62,25.21
868,8.70,F,359.64,72.65,23.05
604,11.74,M,359.65,74.68,24.67
1023,10.25,F,360.08,75.18,22.91
110,11.20,F,360.28,71.46,21.16
505,12.46,F,360.45,71.9,23.5
953,10.59,F,361,69.42,21.62
506,8.93,F,361.08,66.82,22.74
159,10.93,M,361.15,77.81,23.69
627,12.48,F,361.21,66.45,22.82
519,12.69,F,361.42,67.08,25.42
1108,11.97,M,361.75,72.8,23.17
122,12.41,M,361.8,71.64,23.06
263,11.00,F,361.86,69.07,20.11
50,10.92,M,362.4,71.52,22.93
961,9.82,F,362.5,72.12,23.94
851,12.07,F,362.64,63.03,21.72
405,10.85,M,363.04,81.75,23.13
139,11.78,M,363.27,77.05,23.85
957,11.22,M,363.3,75.18,24.03
1374,12.62,M,364.73,72.85,22.83
366,10.95,F,366.38,68.84,23.44
1107,9.98,M,366.76,73.48,22.89
1168,12.00,M,366.87,72.44,23.1
243,8.60,M,367.23,72.51,23.93
520,10.95,F,367.56,65.42,21.01
1005,10.97,M,368.76,69.3,20.1
371,10.47,F,369.33,72.58,23.63
971,11.02,F,370.58,67.47,21.1
523,11.64,F,371.1,72.93,25.9
254,10.68,F,371.5,73.21,21.8
478,11.57,M,372.35,74.83,23.24
982,11.87,M,372.78,78.08,24.22
958,11.14,M,374.34,75.18,24.16
1075,11.47,F,374.5,78.12,24.32
162,11.28,M,376.37,70.32,24.75
1014,12.31,M,378.15,80.21,25.71
43,10.81,M,379.15,75.53,21.64
39,12.76,F,379.34,70.29,22.96
968,12.16,M,380.29,75.29,22.28
976,11.72,M,380.49,69.45,23.44
814,11.99,F,380.89,70.11,22.44
905,12.74,F,381.7,67.94,24.31
745,11.92,M,381.83,79.68,25.48
339,12.44,F,381.96,67.38,22.31
179,11.39,M,382.67,83.6,28.68
256,11.38,M,382.86,75.84,23.18
58,10.48,M,384.37,73.52,24.28
412,12.24,M,386.53,74.65,23.75
1000,10.74,M,386.67,79.95,26.88
863,11.00,F,387.8,78.64,23
229,10.38,F,388.56,77.32,24.28
392,12.23,M,390.15,70.96,22.26
1345,12.24,M,393.01,82.12,24.31
865,10.99,F,393.36,70.04,21.89
726,11.02,F,394.21,76.55,25.69
1379,12.12,F,394.26,67.47,22.61
377,12.59,M,394.89,84.34,29.52
121,12.40,M,396.2,82.81,29.22
253,12.38,M,396.85,77.13,26.94
334,12.60,M,396.92,78.59,24.91
173,12.22,F,398.61,72.41,21.34
791,12.23,F,399.38,72.47,22.68
934,12.80,M,400.38,76,23.71
98,11.01,M,401.81,68.75,21.22
798,12.71,M,402.81,82.16,26.89
550,12.20,M,404.4,78.14,25.89
804,12.70,M,405.11,89.33,29.69
948,11.98,M,411.93,91.2,29.93
86,11.84,M,418.13,82.18,28.81
